# FILE DU LIEU DIEM DANH
# Format: MaSV|MaLop|NgayDiemDanh|TrangThai
# TrangThai: Co_mat | Vang_co_phep | Vang_khong_phep
#--------------------------------------------------
202479991|186300|21/12/2025|Co_mat
202479991|186300|28/12/2025|Co_mat
202479991|186300|04/01/2026|Co_mat
202479991|186300|11/01/2026|Co_mat
202479991|186300|18/01/2026|Co_mat
202479991|186300|25/01/2026|Co_mat
202479991|186300|01/02/2026|Co_mat
202479991|186300|08/02/2026|Co_mat
202479991|186300|15/02/2026|Co_mat
202479991|186300|22/02/2026|Co_mat
202479991|186300|01/03/2026|Co_mat
202479991|186300|08/03/2026|Co_mat
202479991|186300|15/03/2026|Vang_khong_phep
202479991|186300|22/03/2026|Co_mat
202479991|186300|29/03/2026|Co_mat
202479991|186300|05/04/2026|Co_mat
202479991|186300|12/04/2026|Chua_diem_danh
202479991|186300|19/04/2026|Co_mat
202479991|186300|26/04/2026|Vang_khong_phep
202479991|186300|03/05/2026|Co_mat
202479991|186300|10/05/2026|Co_mat
202479991|186300|17/05/2026|Co_mat
202479991|186300|24/05/2026|Chua_diem_danh
202479991|186300|31/05/2026|Vang_khong_phep
202479991|186300|07/06/2026|Chua_diem_danh
202479991|186300|14/06/2026|Co_mat
202561284|186300|21/12/2025|Co_mat
202561284|186300|28/12/2025|Co_mat
202561284|186300|04/01/2026|Vang_khong_phep
202561284|186300|11/01/2026|Co_mat
202561284|186300|18/01/2026|Co_mat
202561284|186300|25/01/2026|Chua_diem_danh
202561284|186300|01/02/2026|Co_mat
202561284|186300|08/02/2026|Chua_diem_danh
202561284|186300|15/02/2026|Co_mat
202561284|186300|22/02/2026|Co_mat
202561284|186300|01/03/2026|Co_mat
202561284|186300|08/03/2026|Co_mat
202561284|186300|15/03/2026|Co_mat
202561284|186300|22/03/2026|Vang_khong_phep
202561284|186300|29/03/2026|Chua_diem_danh
202561284|186300|05/04/2026|Co_mat
202561284|186300|12/04/2026|Co_mat
202561284|186300|19/04/2026|Chua_diem_danh
202561284|186300|26/04/2026|Co_mat
202561284|186300|03/05/2026|Co_mat
202561284|186300|10/05/2026|Co_mat
202561284|186300|17/05/2026|Co_mat
202561284|186300|24/05/2026|Co_mat
202561284|186300|31/05/2026|Co_mat
202561284|186300|07/06/2026|Co_mat
202561284|186300|14/06/2026|Chua_diem_danh
202355615|186300|21/12/2025|Co_mat
202355615|186300|28/12/2025|Chua_diem_danh
202355615|186300|04/01/2026|Co_mat
202355615|186300|11/01/2026|Co_mat
202355615|186300|18/01/2026|Co_mat
202355615|186300|25/01/2026|Co_mat
202355615|186300|01/02/2026|Chua_diem_danh
202355615|186300|08/02/2026|Co_mat
202355615|186300|15/02/2026|Co_mat
202355615|186300|22/02/2026|Co_mat
202355615|186300|01/03/2026|Co_mat
202355615|186300|08/03/2026|Co_mat
202355615|186300|15/03/2026|Co_mat
202355615|186300|22/03/2026|Co_mat
202355615|186300|29/03/2026|Co_mat
202355615|186300|05/04/2026|Co_mat
202355615|186300|12/04/2026|Co_mat
202355615|186300|19/04/2026|Co_mat
202355615|186300|26/04/2026|Co_mat
202355615|186300|03/05/2026|Co_mat
202355615|186300|10/05/2026|Co_mat
202355615|186300|17/05/2026|Chua_diem_danh
202355615|186300|24/05/2026|Vang_khong_phep
202355615|186300|31/05/2026|Co_mat
202355615|186300|07/06/2026|Co_mat
202355615|186300|14/06/2026|Co_mat
202446851|186300|21/12/2025|Co_mat
202446851|186300|28/12/2025|Vang_khong_phep
202446851|186300|04/01/2026|Co_mat
202446851|186300|11/01/2026|Co_mat
202446851|186300|18/01/2026|Chua_diem_danh
202446851|186300|25/01/2026|Co_mat
202446851|186300|01/02/2026|Co_mat
202446851|186300|08/02/2026|Co_mat
202446851|186300|15/02/2026|Chua_diem_danh
202446851|186300|22/02/2026|Co_mat
202446851|186300|01/03/2026|Co_mat
202446851|186300|08/03/2026|Co_mat
202446851|186300|15/03/2026|Co_mat
